"","IND_SSKIN","IND_FAT","IND_BRAIN","IND_CO","IND_KIDNEY","IND_GONAD","IND_LIVER","IND_HCT","IND_HEART","IND_MUSCLE","IND_INTESTINE","IND_STOMACH","IND_LUNG","IND_VSKIN","IND_MARR","IND_PANCREAS","IND_SPLEEN","Result_Hair","Result_Liver","Result_Brain","Result_Kidney","Result_Urine","Final_urine","Final"
"1","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787801930859353,0.772885770026403,0.942831217803975,1.04212354767853,132.626403111196,27.2344091155129,0.886410616592065
"2","Deepika et al. (2021)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787801930859353,0.772885770026403,0.942831217803975,1.04212354767853,132.626403111196,27.2344091155129,0.886410616592065
"3","Pearce et al. (2017)","Smith et al. (2014)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787801930859353,0.772885770026403,0.942831217803975,1.04212354767853,132.626403111196,27.2344091155129,0.886410616592065
"4","Mallick et al. (2019)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788176763868114,0.772712451344714,0.942289756656259,1.04232234158971,132.607656678822,27.2306315984561,0.886375328364699
"5","Deepika et al. (2021)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788176763868114,0.772712451344714,0.942289756656259,1.04232234158971,132.607656678822,27.2306315984561,0.886375328364699
"6","Pearce et al. (2017)","Pendse et al. (2020)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.788176763868114,0.772712451344714,0.942289756656259,1.04232234158971,132.607656678822,27.2306315984561,0.886375328364699
"7","Mallick et al. (2019)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787847423138539,0.772823549985168,0.942221117415231,1.04213972574499,132.597665611198,27.2285394854965,0.886257954070983
"8","Deepika et al. (2021)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787847423138539,0.772823549985168,0.942221117415231,1.04213972574499,132.597665611198,27.2285394854965,0.886257954070983
"9","Pearce et al. (2017)","Deepika et al. (2021)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787847423138539,0.772823549985168,0.942221117415231,1.04213972574499,132.597665611198,27.2285394854965,0.886257954070983
"10","Mallick et al. (2019)","Smith et al. (2014)","Haddad et al. (2001)","Deepika et al. (2021)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Mallick et al. (2019)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Haddad et al. (2001)","Beaudouin et al. (2010)","Haddad et al. (2001)",0.787802970344697,0.772889857975067,0.942829208894819,1.04212159105918,132.626262710775,27.2343812678099,0.886410907068441
